label,believability,sentence_length_total,clause_count,avg_parse_depth,max_parse_depth,q1_type,q2_type,qc_type,p1_negations,p2_negations,c_negations,total_negations,lexical_overlap,entity_freq_p1,entity_freq_c,semantic_similarity,raw_text
0,1,24,0,4.333333333333333,5,1,1,3,0,0,1,1,0.0,4,4,0.7359427,Every single car is a vehicle. Everything that is a bicycle is a vehicle. It is the case that some bicycles are not cars.
0,1,36,1,5.666666666666667,8,1,3,1,0,0,1,1,0.2,13,5,0.7182825,"Every single animal that is a spider is a creature with eight legs. A few of the things known as daddy longlegs are creatures with eight legs. As a result, not all daddy longlegs are spiders."
0,1,17,0,3.6666666666666665,4,3,3,2,0,0,1,1,0.2857142857142857,5,4,0.5960867,Some mammals are dogs. There are some cats who are mammals. Cats are in no way dogs.
0,0,16,1,3.0,3,1,1,1,0,0,0,0,0.14285714285714285,4,4,0.881305,"Every insect is an animal. All mammals are animals. Consequently, every single mammal is an insect."
1,1,20,1,3.6666666666666665,4,1,3,3,0,0,0,0,0.125,6,3,0.7132078,"Every single gecko is a type of lizard. A number of geckos are also reptiles. Therefore, some reptiles are lizards."
0,0,32,1,5.333333333333333,6,1,1,3,1,0,0,1,0.2857142857142857,9,9,0.8040302,"It is not the case that every human is a male. Every single human is a creature with ten legs. From this, it follows that some creatures with ten legs are males."
1,1,22,3,3.3333333333333335,4,2,1,2,1,0,1,2,0.0,6,4,0.81073785,"It is true that no building is a vehicle. Each house, without exception, is a building. Therefore, no houses can be vehicles."
0,1,26,1,4.333333333333333,5,1,3,3,0,0,1,1,0.1,8,3,0.6696472,"Anything that is an elephant is also a four-legged animal. A portion of insects are creatures that have four legs. Therefore, some insects are not elephants."
0,0,30,2,4.666666666666667,5,2,2,3,1,1,1,3,0.18181818181818182,7,6,0.84013504,"There are no books that are made of paper. There is not a single paperback that is a book. It follows, then, that some paperbacks are not made of paper."
1,0,22,2,3.6666666666666665,4,2,1,2,1,0,1,2,0.0,6,4,0.5972754,"No giant balls of gas are stars. Suns are, without exception, giant balls of gas. No star can be considered a sun."
1,0,39,2,5.333333333333333,6,2,3,3,1,0,1,2,0.29411764705882354,10,12,0.7776559,"It is true that no fish live in the sea. There are fish, and some of them are salmons. Based on this, it must be the case that a certain amount of salmons do not live in the sea."
0,0,27,1,4.333333333333333,5,1,2,2,1,1,1,3,0.375,7,4,0.72069347,"It is not true that any tree is green. There is not a single car that is a tree. Consequently, there is no car that is green."
1,0,23,2,4.0,5,2,3,3,1,0,1,2,0.2857142857142857,5,4,0.55970097,"There are no rocks that are objects. A few tables are, surprisingly, rocks. This means that a portion of tables are not objects."
1,0,24,1,4.0,4,3,1,3,0,0,0,0,0.2222222222222222,5,6,0.6599242,"There are some planets that are dogs. All things that are dogs are beings. Hence, it can be concluded that some beings are planets."
1,0,20,0,4.0,5,3,1,3,0,0,0,0,0.25,5,5,0.5969045,Some fish are penguins. All penguins belong to the class of birds. One must conclude that some birds are fish.
1,0,27,1,4.333333333333333,5,1,3,3,0,1,1,2,0.375,6,5,0.6720491,"It is true that all newspapers are animals. There are some magazines that are not animals. Therefore, it is the case that some magazines are not newspapers."
0,0,29,0,5.333333333333333,6,1,1,1,0,0,0,0,0.4444444444444444,7,6,0.72080463,Any person who is a doctor is a cloud. Every single doctor is a person with a degree. This proves that every person with a degree is a cloud.
1,0,35,2,5.0,6,2,3,3,1,0,1,2,0.13333333333333333,8,9,0.7885583,"It is true that no fish is a swimmer. There are fish, and some of them are tuna. Based on this, it must be the case that a certain amount of tuna are not swimmers."
0,1,34,0,6.0,7,1,3,3,0,0,0,0,0.23076923076923078,9,7,0.83435106,Every single creature that is an animal with fins is a fish. It is also the case that some whales are fish. This leads to the conclusion that some whales are animals with fins.
0,1,21,1,4.0,5,3,1,1,0,0,0,0,0.125,6,3,0.80162054,"There are some animals that are mammals. Something that is a dog is an animal. Consequently, every dog is a mammal."
0,0,23,1,4.333333333333333,5,1,2,2,0,1,1,2,0.2857142857142857,5,4,0.80334496,"Anything that is a feline is a mammal. There are no cats that are felines. Thus, there are no cats that are mammals."
1,1,25,1,4.0,5,1,3,3,0,1,1,2,0.2,7,5,0.72571474,"Every single triangle is a polygon. It is not the case that some lines are polygons. Therefore, it follows that some lines are not triangles."
0,1,28,0,4.333333333333333,5,1,2,2,0,1,1,2,0.09090909090909091,7,5,0.5079438,Every single person who is an animal is a living thing. Not a single building is an animal. The conclusion that no buildings are living things is inescapable.
0,0,21,1,4.0,5,2,1,1,1,0,0,1,0.14285714285714285,5,3,0.7591907,"There are no dogs that are cats. Everything that is a bird is a dog. Thus, every bird is a cat."
1,1,28,0,4.666666666666667,5,1,2,2,0,1,1,2,0.25,6,4,0.7800823,Any object that is a building is also a structure. There is not a single structure that is a cloud. It follows that no cloud is a building.
1,0,20,1,3.3333333333333335,4,3,1,3,0,0,0,0,0.1,4,7,0.79966295,"Some clouds are houses. A house is a building. As such, it is necessarily true that some buildings are clouds."
0,0,28,0,4.333333333333333,5,2,1,2,1,0,1,2,0.25,5,5,0.6343826,Not a single creature that is a retriever is a dog. Every single animal is a retriever. It must be the case that no animal is a dog.
1,1,24,1,3.6666666666666665,4,1,2,3,0,1,1,2,0.08333333333333333,7,6,0.7650224,"Every single square is a polygon. There are no polygons which are circles. Thus, it can be concluded that some circles are not squares."
1,0,32,0,4.333333333333333,5,3,1,3,1,0,1,2,0.18181818181818182,7,6,0.50091225,Some things that are potatoes are not living things. Every single thing that is a potato is a human. A logical consequence of this is that some humans are not living things.
0,0,19,1,3.3333333333333335,4,1,2,2,0,1,1,2,0.2,7,5,0.7641189,"It is true that all fish live in water. No birds are fish. Therefore, no bird lives in water."
1,0,20,1,3.6666666666666665,4,1,1,3,0,0,0,0,0.125,6,3,0.5587141,"Every fictional characters is a stone. There are fictional characters which are animals. Thus, a portion of animals are stones."
1,1,24,0,3.6666666666666665,4,2,1,3,1,0,1,2,0.1111111111111111,5,5,0.7492573,An insect is never an arachnid. There are spiders that are arachnids. The only conclusion to draw is that some spiders are not insects.
0,0,29,0,5.0,6,1,2,2,1,1,1,3,0.25,5,5,0.74483246,It is not true that any dog is an animal. Nothing that is a mammal is a dog. This leads to the conclusion that no mammal is an animal.
0,0,27,0,4.0,4,2,1,3,1,1,0,2,0.2,8,4,0.83576536,There are no tables that are living things. It is not true that any plant is a table. It is the case that some plants are tables.
1,0,26,0,4.333333333333333,6,2,1,2,1,0,1,2,0.18181818181818182,10,3,0.6805457,Written works are in no way items with printed pages. Everything that is a book is an item with printed pages. Books are not written works.
1,0,29,0,4.666666666666667,6,2,3,3,1,0,1,2,0.1,7,4,0.7014931,Anything that is a plant with thorns is not a flower. A certain number of roses are considered plants with thorns. This demonstrates that some roses are not flowers.
1,0,23,1,4.333333333333333,5,1,3,3,0,0,0,0,0.2222222222222222,7,4,0.8283675,"Any celestial body which is a planet is a cube. A portion of celestial bodies are planets. Consequently, some celestial bodies are cubes."
1,1,22,0,4.0,5,1,1,3,0,0,0,0,0.0,4,4,0.7731838,Every square is a shape that is also a rectangle. Every rectangle is a polygon. It follows that some polygons are squares.
1,1,24,1,4.0,5,2,3,3,1,0,1,2,0.1,8,3,0.82301784,"There is not a single tree that is a shrub. It is known that some oaks are trees. Consequently, some oaks are not shrubs."
1,0,26,0,4.666666666666667,5,1,2,3,0,1,1,2,0.09090909090909091,8,4,0.5786866,Any person who is a human is a robot. The set of people contains no robots. It is the case that some people are not humans.
1,1,35,0,5.333333333333333,7,2,3,3,1,0,1,2,0.07692307692307693,10,4,0.67711246,Anything that is an apple is not a citrus fruit. The group of items known as fruits has some members that are citrus fruits. The result of this is that some fruits are not apples.
1,1,24,0,3.6666666666666665,5,2,1,3,1,0,1,2,0.42857142857142855,4,6,0.9005419,Lions are not gazelles. All African lions are things that are lions. It follows that there are some African lions that are not gazelles.
1,0,19,1,3.3333333333333335,4,1,1,1,0,0,0,0,0.0,4,4,0.68226856,"Every single idea is a tree. Every single idea is an animal. Therefore, there are animals that are trees."
1,0,27,0,4.333333333333333,5,1,2,3,0,1,1,2,0.1111111111111111,6,4,0.7827316,Anything that is cutlery is furniture. There are no pieces of cutlery which are also spoons. It is the case that some cutlery is not a spoon.
0,0,21,1,3.6666666666666665,4,1,2,2,0,1,1,2,0.3333333333333333,7,5,0.77973163,"Every single mammal is an animal. There are no fish which are mammals. Consequently, there are no fish which are animals."
0,0,20,1,4.0,5,2,3,3,1,0,0,1,0.16666666666666666,4,3,0.77846575,"Nothing that is a canine is a cat. A certain number of dogs are canines. Thus, some dogs are cats."
0,1,31,1,4.666666666666667,5,3,3,3,1,0,1,2,0.07692307692307693,7,7,0.8180687,"Some animal that is a reptile is not an amphibian. It is known that a portion of crocodiles are reptiles. From this, we can deduce that some crocodiles are not amphibians."
0,1,23,0,3.6666666666666665,4,1,2,1,0,1,0,1,0.09090909090909091,6,6,0.74954695,Every single hammer is a tool. There are no nails that are hammers. It follows from this that every nail is a tool.
1,0,25,0,3.6666666666666665,5,2,3,3,1,0,1,2,0.08333333333333333,8,5,0.7558551,No single plant is a tree. A select few pines are classified as plants. It is therefore a fact that some pines are not trees.
1,0,24,0,4.333333333333333,5,1,2,3,0,1,1,2,0.1111111111111111,5,5,0.6130239,Anything that is a animal is an idea. There are no ideas that are dogs. This necessarily suggests that some dogs are not animals.
0,0,27,0,5.0,6,1,2,2,0,1,1,2,0.1,6,5,0.7353362,Anything that is a bicycle is a vehicle. It is known that no trucks are bicycles. This leads to the conclusion that no truck is a vehicle.
1,0,26,1,4.333333333333333,5,1,2,3,0,1,1,2,0.08333333333333333,6,7,0.7132701,"Anything that is a star is a spoon. There exist no spoons that are suns. From this, we can deduce that some suns are not stars."
1,0,27,1,4.333333333333333,5,1,2,3,0,1,1,2,0.08333333333333333,6,7,0.6568699,"Anything that is a fruit is a feeling. There are no feelings which are apples. As a result, we can conclude that some apples are not fruits."
0,1,23,1,3.6666666666666665,5,1,1,1,0,0,0,0,0.3333333333333333,5,3,0.75270313,"Every single animal is a living thing. Everything that is a human is also a living thing. Consequently, every human is an animal."
0,1,28,0,5.333333333333333,7,3,1,3,1,0,0,1,0.3,6,7,0.7619458,There are some creatures that are animals and not vertebrates. All cats are also vertebrates. This leads to the conclusion that there are some cats which are animals.
1,0,20,1,3.6666666666666665,4,1,3,3,0,0,0,0,0.2857142857142857,4,5,0.80117774,"Any fire is frozen. There are some flames that are fire. Therefore, it is implied that some flames are frozen."
0,0,33,0,4.666666666666667,6,1,1,3,0,0,0,0,0.13333333333333333,13,4,0.7849258,It is completely false that any creature which is a bird is a fish. There exists a group of birds who are also penguins. A valid inference is that some penguins are fish.
1,1,22,0,3.6666666666666665,4,2,1,3,1,0,1,2,0.1,7,4,0.78476304,There are no triangles which are squares. Every single triangle is a polygon. It's the case that some polygons are not squares.
0,0,19,1,3.6666666666666665,4,2,2,3,1,1,0,2,0.4,4,3,0.77888024,"There are no clouds that are rocks. There are no rocks that are mountains. Therefore, some mountains are clouds."
0,1,21,0,4.0,5,1,1,1,0,0,0,0,0.0,4,4,0.79470235,Anything that is a mammal is an animal. Every single dog is an animal. This means that all dogs are mammals.
1,0,21,0,4.0,4,1,1,3,0,0,0,0,0.2857142857142857,5,4,0.6440012,All things which are numbers are animals. All things which are numbers are plants. It follows that some plants are animals.
0,0,23,1,4.0,5,2,3,3,1,0,0,1,0.3333333333333333,5,7,0.6371811,"No books are buildings. Some things made of paper are books. From this, it is concluded that some buildings are made of paper."
1,0,27,0,4.666666666666667,7,2,1,2,1,0,1,2,0.2,10,2,0.5174202,The set of automobiles and the set of self-propelled vehicles are entirely separate. The entire category of cars is composed of self-propelled vehicles. Automobiles are not cars.
1,1,23,1,3.6666666666666665,4,2,1,3,1,0,1,2,0.08333333333333333,7,6,0.72934455,"There are no lions which are herbivores. Every single lion is a predator. Therefore, we can conclude that some predators are not herbivores."
0,0,19,0,3.6666666666666665,4,2,3,1,1,0,0,1,0.0,5,4,0.69637793,There are no parrots which are mammals. Some birds are parrots. This implies that every bird is a mammal.
1,1,21,0,4.0,5,1,2,3,0,1,1,2,0.1,7,4,0.7962922,Every doctor is a professional. The set of children does not contain professionals. At least one child is not a doctor.
0,0,15,1,3.0,3,1,1,1,0,0,0,0,0.16666666666666666,4,3,0.7971618,"Every tiger is a feline. All tigers are also mammals. Therefore, all mammals are felines."
0,0,26,0,4.0,5,1,1,3,1,0,0,1,0.09090909090909091,6,6,0.7685069,It is not the case that every single scientist is an engineer. Every scientist is an elevator. It follows from this that some elevators are engineers.
0,1,23,0,4.0,5,3,1,1,0,0,0,0,0.1111111111111111,5,5,0.7425045,There are some reptile that are animals. Every single snake is a reptile. It is therefore the case that all snakes are animals.
0,0,20,0,4.333333333333333,5,1,1,1,0,0,0,0,0.0,3,2,0.73796004,Anything that is a bird is an animal. Everything that is a zebra is an animal. All birds are zebras.
0,0,24,0,4.666666666666667,6,1,1,1,0,0,0,0,0.1,6,5,0.69311684,Anything and everything that is a satellite is a moon. There are satellites that are planets. It must follow that all planets are moons.
1,1,28,1,4.666666666666667,6,2,1,3,1,0,1,2,0.2,6,6,0.7640844,"There are no animals that are fish that have beaks. All birds are animals that have beaks. Consequently, it can be said that some birds are not fish."
0,1,28,1,4.333333333333333,5,3,3,3,0,0,0,0,0.2727272727272727,8,6,0.8160391,"There are some scientists who are engineers. It is a known fact that some scientists are also doctors. From this, it is suggested that some doctors are engineers."
1,1,24,0,4.333333333333333,5,3,1,3,0,0,0,0,0.375,5,6,0.8199036,A certain number of cars are vehicles. All vehicles are considered modes of transportation. It logically follows that some modes of transportation are cars.
1,0,23,0,4.0,5,1,2,2,0,1,1,2,0.2857142857142857,5,4,0.80399114,Any fruit is a food. It is the case that no apple is a food. This means that no apple is a fruit.
1,1,38,2,5.666666666666667,7,2,3,3,1,0,1,2,0.1111111111111111,10,10,0.74980956,"Not a single person who is a doctor is also an engineer. Among the group of people who are doctors, some are researchers. From this, we can logically conclude that there are some researchers who are not engineers."
1,0,26,1,4.666666666666667,6,2,1,3,1,0,1,2,0.375,7,4,0.84095323,"It is the case that no circles are round shapes. All of the things that are rings are circles. Thus, some rings are not round shapes."
0,1,24,0,4.0,4,2,3,3,1,1,1,3,0.375,7,4,0.7710399,It is true that no cats are dogs. There are some people who are not dogs. It follows that some people are not cats.
0,0,17,1,3.3333333333333335,4,1,2,2,0,1,1,2,0.0,4,3,0.773313,"All houses are structures. There are no bridges that are houses. Therefore, no bridge is a structure."
1,0,26,2,4.0,5,1,1,2,0,0,2,2,0.3333333333333333,6,6,0.8197489,"Anything that is a person is made of wood. Without exception, all children are people. Therefore, there are no children who are not made of wood."
0,1,21,1,3.6666666666666665,4,1,2,2,0,1,1,2,0.25,6,4,0.7711224,"Every single dog is a mammal. There are no dogs that are fish. Therefore, there are no fish that are mammals."
1,0,27,1,4.333333333333333,5,2,1,3,1,0,1,2,0.36363636363636365,9,6,0.8295534,"Things that are thoughts are not electrical signals in the brain. Every single idea is a thought. Therefore, some ideas are not electrical signals in the brain."
1,0,23,1,4.0,5,1,3,3,0,0,0,0,0.2,8,4,0.83218944,"It is the case that every single book weighs a ton. A portion of novels are books. Consequently, some novels weigh a ton."
0,1,24,0,4.0,5,2,3,3,1,0,0,1,0.3333333333333333,7,5,0.7319188,There are no hard workers who are also lazy people. Some students are hard workers. It is concluded that some students are lazy people.
1,1,30,2,5.0,6,2,1,2,1,0,1,2,0.3333333333333333,9,7,0.850579,"Not a single land-dwelling amphibian is able to survive in saltwater. Every salamander is, without exception, a land-dwelling amphibian. This implies that no salamander is able to live in saltwater."
0,1,25,0,5.0,5,1,1,3,0,0,0,0,0.08333333333333333,9,4,0.6603212,Every single fruit is a thing that grows on trees. All apples are things that grow on trees. At least one apple is a fruit.
0,0,23,0,3.6666666666666665,4,1,1,1,0,0,0,0,0.25,5,5,0.70604753,Every airplane is a cloud. It is true that every bird is a cloud. This means that every single bird is an airplane.
1,0,24,0,3.6666666666666665,4,1,2,3,0,2,0,2,0.42857142857142855,7,3,0.7433846,Every single building is made of candy. There are no houses that are not buildings. A certain number of houses are made of candy.
0,0,26,1,4.0,4,2,2,3,1,1,0,2,0.3333333333333333,6,6,0.7229419,"There are no vegetables that are fruits. It is also true that no minerals are vegetables. From this, it is suggested that some minerals are fruits."
0,0,24,1,4.666666666666667,6,1,3,3,0,0,1,1,0.14285714285714285,5,3,0.70661616,"Anything that is a vehicle is also a machine. There is a subset of machines that are cars. Therefore, some cars are not vehicles."
0,0,21,0,4.666666666666667,5,2,3,3,1,0,0,1,0.3333333333333333,8,4,0.80652475,There are no universities which are plants. At least one tree is a plant. At least one tree is a university.
0,1,26,0,4.0,4,3,3,3,0,0,1,1,0.4,8,6,0.76000255,It is true that some students are athletes. There are some tall people which are athletes. It logically follows that some tall people are not students.
1,0,33,0,5.0,5,2,1,2,1,0,1,2,0.08333333333333333,8,5,0.76052743,Nothing that can be considered a celestial body is an object that orbits a star. Every planet is an object that orbits a star. There exist no planets that are also celestial bodies.
1,1,31,1,4.333333333333333,5,1,2,3,0,1,1,2,0.07142857142857142,8,7,0.74467456,"Every object that is a table is a type of furniture. There exist no pieces of furniture that are cars. From this, we must conclude that some cars are not tables."
0,1,26,0,4.666666666666667,5,2,2,2,1,1,1,3,0.375,7,4,0.6994778,It is the case that no ghost is immortal. There is not a single human that is a ghost. It follows that no human is immortal.
1,0,29,1,5.0,5,2,3,3,1,0,1,2,0.1111111111111111,5,5,0.7654921,"Anything that is a bird is not an animal. Of the items that are sparrows, some are animals. It must be the case that some sparrows are not birds."
1,1,33,0,4.666666666666667,5,1,1,2,1,0,1,2,0.13333333333333333,9,8,0.73223984,Reptiles are a class of animal which does not contain any amphibians. All things that are frogs are amphibians. The group of frogs and the group of reptiles have no members in common.
0,1,28,0,5.0,6,2,1,3,1,0,0,1,0.16666666666666666,12,2,0.73329204,There are no objects that are both tools and have handles. The entire set of objects with handles is composed of hammers. A portion of tools are hammers.
0,1,22,1,3.6666666666666665,5,1,2,1,0,1,0,1,0.1,8,3,0.6607006,"The group of continents and the group of countries are mutually exclusive. Canada is not a continent. Therefore, Canada is a country."
1,0,25,0,3.6666666666666665,4,2,1,3,1,0,1,2,0.18181818181818182,8,5,0.5431488,Not a single human is a tree. The entire set of trees is composed of women. It logically follows that some women are not human.
1,1,20,1,4.333333333333333,5,2,3,3,1,0,1,2,0.14285714285714285,5,3,0.7690177,"There is no mammal that is a shark. Some of the sharks are fish. Therefore, some fish are not mammals."
1,1,21,0,3.6666666666666665,4,3,1,3,0,0,0,0,0.2222222222222222,7,4,0.8365468,There are some band members who are singers. All band members are considered musicians. It follows that some musicians are singers.
1,1,21,0,3.6666666666666665,4,1,2,3,0,1,1,2,0.1111111111111111,6,4,0.8133453,Every single bird is an animal. There are no animals that are minerals. This proves that some minerals are not birds.
0,1,37,2,5.0,5,3,3,3,0,0,0,0,0.36363636363636365,8,7,0.7271086,"Among the people who are scientists, there are some who are also programmers. Of the people who are musicians, a number of them are programmers. It therefore stands that some people who are musicians are also scientists."
1,0,21,0,3.6666666666666665,4,1,2,3,0,1,1,2,0.1111111111111111,5,5,0.7368642,Every bird is a fish. There are no fish which are sparrows. This necessarily suggests that some sparrows are not birds.
0,0,21,0,4.0,5,2,3,1,1,0,0,1,0.1111111111111111,5,5,0.71058726,There are no shirts which are vegetables. Some clothing is shirts. This implies that every piece of clothing is a vegetable.
0,1,21,1,3.6666666666666665,4,1,3,1,0,0,1,1,0.2222222222222222,7,4,0.781456,"Every single house is a building. A few schools are classified as buildings. As a result, not all schools are houses."
0,1,31,0,5.333333333333333,6,3,3,3,0,1,1,2,0.3,7,6,0.76878893,The set of humans is a subset of the set of mortals. At least one robot is not a mortal. There is at least one robot who is not a human.
1,1,25,0,4.0,5,2,3,3,0,1,1,2,0.1111111111111111,6,4,0.7435135,Every star is a luminous celestial body. There are some planets that are not luminous. It is the case that some planets are not stars.
1,0,22,0,4.666666666666667,5,2,1,3,1,0,1,2,0.125,6,3,0.7758588,Chairs are in no way furniture. Everything that is a chair is an object. There are some objects that are not furniture.
0,1,23,1,3.6666666666666665,5,3,3,1,1,0,0,1,0.1111111111111111,5,5,0.6520115,"Some item that is an animal is not a mammal. Some dogs are mammals. Therefore, all dogs can be said to be animals."
0,1,29,0,5.666666666666667,6,1,1,1,0,0,0,0,0.25,4,6,0.8144778,All of the things that are lions are felines. All of the things that are cats are felines. It can be deduced that there are cats that are lions.
1,1,28,0,4.333333333333333,5,1,3,3,0,0,1,1,0.18181818181818182,8,5,0.85130143,It is impossible for a spider to be a bird. A portion of spiders are considered arachnids. It is necessarily the case that some arachnids are not birds.
1,1,21,1,3.6666666666666665,4,1,1,3,0,0,0,0,0.1,5,6,0.7744327,"Each bird is a vertebrate. Each bird is an animal that has wings. So, some animals with wings must be vertebrates."
1,1,21,2,4.0,4,3,1,3,0,0,0,0,0.2222222222222222,6,5,0.75704426,"There are some capitals that are polluted. All capitals are, by definition, cities. One must conclude that some cities are polluted."
1,0,19,1,3.6666666666666665,4,3,1,3,0,0,0,0,0.16666666666666666,4,3,0.76788455,"There are some tables that are happiness. Anything that is happiness is an emotion. Consequently, some emotions are tables."
1,0,24,0,4.333333333333333,5,2,3,3,0,0,0,0,0.25,6,4,0.7140381,Anything that is a puppy is venomous. A few puppies are kept as pets. This implies that a certain number of pets are venomous.
0,0,31,1,6.333333333333333,7,3,3,3,0,0,1,1,0.18181818181818182,8,5,0.7700632,"There are some creatures that are mammals and also animals. Among the group of creatures that are tigers, some are animals. It follows that at least some tigers are not mammals."
0,1,24,0,4.0,4,2,1,3,1,0,0,1,0.1,7,4,0.66660345,No vegetable is a type of meat. It is true that every single meat is a food. This proves that some vegetables are food.
0,1,25,1,4.0,5,1,3,1,0,0,0,0,0.07692307692307693,9,5,0.8381537,"It is a fact that all mammals are animate objects. There are some animals which are zebras. Therefore, every single zebra is an animate object."
0,1,24,1,4.0,5,2,1,1,1,0,0,1,0.2222222222222222,6,5,0.7368814,"It is the case that no insect is a mammal. Every single insect is an animal. For this reason, every animal is a mammal."
0,1,20,1,3.6666666666666665,5,1,3,1,0,0,0,0,0.2,7,5,0.82584095,"Every object that is a car has an engine. Some motorized vehicles are cars. Therefore, all motorized vehicles have engines."
0,1,26,0,4.333333333333333,6,1,1,3,0,0,0,0,0.2222222222222222,6,5,0.78836495,It is true that anything that is an apple is an edible thing. Every apple is a fruit. It follows that some fruits are edible things.
1,1,35,1,4.666666666666667,5,3,1,3,1,0,1,2,0.15384615384615385,9,6,0.7411095,"There exist some things which are rivers, that are not oceans. Anything that is a river is a body of water. A logical consequence of this is that some bodies of water are not oceans."
0,0,17,1,3.0,3,1,1,1,0,0,0,0,0.1111111111111111,6,4,0.78377146,"Every bird is an animal. All humans are animals as well. Therefore, all humans must be birds."
1,1,26,0,4.333333333333333,5,1,2,2,0,1,1,2,0.2,7,5,0.80380523,Hammers are items that are tools. It is the case that no glove is a tool. It can be concluded that no glove is a hammer.
1,0,25,0,4.0,4,1,1,3,0,0,0,0,0.4444444444444444,7,6,0.7218617,All things which are ghosts are scientific facts. All things which are ghosts are mythical beings. It follows that some mythical beings are scientific facts.
1,0,29,0,4.666666666666667,5,1,1,1,0,0,0,0,0.3333333333333333,4,4,0.72645664,Every object that is a flower is an animal. Anything that is a rose is an object that is a flower. This means that every rose is an animal.
1,0,29,1,4.333333333333333,5,1,1,2,1,0,1,2,0.23076923076923078,10,6,0.68290424,"It is not true that any stationery item can be used for writing. All pencils are items of stationery. Therefore, no pencil is able to be used for writing."
0,0,25,1,4.0,5,1,1,3,0,0,0,0,0.0,4,7,0.73717684,"Every single apple is a vegetable. Anything that is an apple is a fruit. From this, it can be stated that some fruits are vegetables."
1,1,33,0,5.0,6,2,1,3,2,0,0,2,0.4117647058823529,13,11,0.7947609,There are no amphibians that do not live on both land and in water. Every single frog is an amphibian. There exists at least one frog that lives on land and in water.
1,1,23,0,4.0,4,2,3,3,1,0,1,2,0.25,5,5,0.6504107,There are no roses that are vegetables. A certain quantity of roses are flowers. This logically implies that some flowers are not vegetables.
0,1,23,0,4.666666666666667,7,1,3,3,0,0,1,1,0.14285714285714285,6,2,0.78386354,Every feline is an animal. There is a subset of animals that is composed of mammals. A portion of mammals are not felines.
1,1,26,0,4.333333333333333,5,2,1,2,1,0,1,2,0.15384615384615385,10,5,0.76677775,No buildings are found within the group of plants. The category of trees is entirely made up of plants. Buildings and trees are completely separate categories.
0,1,16,2,3.3333333333333335,4,2,1,3,1,0,0,1,0.2,4,2,0.7208784,"No gold is silver. Silver is, without exception, a metal. A number of metals are gold."
1,1,29,1,4.666666666666667,5,1,2,3,0,2,0,2,0.3333333333333333,7,5,0.7934234,"Everything that is a planet is a celestial body. There are no things that are Earth that are not planets. Therefore, at least some Earth is a celestial body."
0,0,22,0,3.6666666666666665,4,2,1,1,1,0,0,1,0.0,6,4,0.72751385,It is true that no bird is an insect. Every single insect is a mammal. This proves that all mammals are birds.
1,1,25,2,4.333333333333333,5,2,1,3,1,0,1,2,0.25,6,4,0.6189054,"A computer is never a tablet. All of the tablets are, without exception, electronic devices. A subset of electronic devices is not composed of computers."
1,0,32,0,4.333333333333333,5,1,1,2,1,0,1,2,0.45454545454545453,9,7,0.69663036,It is not true that any input device is used for typing. Each and every keyboard is an input device. It is therefore a fact that no keyboard is used for typing.
